Points;Place;Candidate;Vote;Country;Name;Sex;Type
5;First;Dzsenifer Marozsán;Captain;St Kitts and Nevis;Jené Baclawski;Women's;Player
3;Second;Pernille Harder;Captain;St Kitts and Nevis;Jené Baclawski;Women's;Player
1;Third;Vivianne Miedema;Coach;St Kitts and Nevis;Phoenetia Browne;Women's;Player
1;Third;Wendie Renard;Captain;St Kitts and Nevis;Jené Baclawski;Women's;Player
5;First;Wendie Renard;Coach;St Kitts and Nevis;Phoenetia Browne;Women's;Player
5;First;Ji So-yun;Coach;St Lucia;Emmanuel Bellas;Women's;Player
3;Second;Lucy Bronze;Coach;St Lucia;Emmanuel Bellas;Women's;Player
1;Third;Sam Kerr;Captain;St Lucia;Ellaisa Marquis;Women's;Player
5;First;Vivianne Miedema;Captain;St Lucia;Ellaisa Marquis;Women's;Player
3;Second;Wendie Renard;Captain;St Lucia;Ellaisa Marquis;Women's;Player
1;Third;Wendie Renard;Coach;St Lucia;Emmanuel Bellas;Women's;Player
3;Second;Delphine Cascarino;Coach;St Vincent and the Grenadines;Cornelius Bernard Huggins;Women's;Player
1;Third;Lucy Bronze;Coach;St Vincent and the Grenadines;Cornelius Bernard Huggins;Women's;Player
5;First;Vivianne Miedema;Coach;St Vincent and the Grenadines;Cornelius Bernard Huggins;Women's;Player
5;First;Dzsenifer Marozsán;Media;Sudan;Moutassim Abdalla Ahmed Ali Moutassim;Women's;Player
3;Second;Lucy Bronze;Media;Sudan;Moutassim Abdalla Ahmed Ali Moutassim;Women's;Player
1;Third;Vivianne Miedema;Media;Sudan;Moutassim Abdalla Ahmed Ali Moutassim;Women's;Player
5;First;Caroline Graham Hansen;Coach;Suriname;Hesron Jeroe;Women's;Player
3;Second;Delphine Cascarino;Captain;Suriname;Hadassa Brandon;Women's;Player
1;Third;Jennifer Hermoso;Coach;Suriname;Hesron Jeroe;Women's;Player
1;Third;Lucy Bronze;Captain;Suriname;Hadassa Brandon;Women's;Player
5;First;Pernille Harder;Captain;Suriname;Hadassa Brandon;Women's;Player
3;Second;Pernille Harder;Coach;Suriname;Hesron Jeroe;Women's;Player
1;Third;Delphine Cascarino;Captain;Sweden;Caroline Seger;Women's;Player
3;Second;Lucy Bronze;Captain;Sweden;Caroline Seger;Women's;Player
1;Third;Lucy Bronze;Media;Sweden;Lisa Edwinsson;Women's;Player
5;First;Lucy Bronze;Coach;Sweden;Peter Gerhardsson;Women's;Player
5;First;Pernille Harder;Captain;Sweden;Caroline Seger;Women's;Player
5;First;Pernille Harder;Media;Sweden;Lisa Edwinsson;Women's;Player
1;Third;Pernille Harder;Coach;Sweden;Peter Gerhardsson;Women's;Player
3;Second;Vivianne Miedema;Media;Sweden;Lisa Edwinsson;Women's;Player
3;Second;Vivianne Miedema;Coach;Sweden;Peter Gerhardsson;Women's;Player
1;Third;Caroline Graham Hansen;Captain;Switzerland;Lia Joëlle Wälti;Women's;Player
3;Second;Lucy Bronze;Media;Switzerland;Seraina Degen;Women's;Player
3;Second;Pernille Harder;Captain;Switzerland;Lia Joëlle Wälti;Women's;Player
5;First;Pernille Harder;Coach;Switzerland;Nils Nielsen;Women's;Player
5;First;Pernille Harder;Media;Switzerland;Seraina Degen;Women's;Player
1;Third;Saki Kumagai;Coach;Switzerland;Nils Nielsen;Women's;Player
5;First;Vivianne Miedema;Captain;Switzerland;Lia Joëlle Wälti;Women's;Player
1;Third;Vivianne Miedema;Media;Switzerland;Seraina Degen;Women's;Player
3;Second;Wendie Renard;Coach;Switzerland;Nils Nielsen;Women's;Player
5;First;Delphine Cascarino;Captain;Tahiti;Gwendoline Fournier;Women's;Player
1;Third;Dzsenifer Marozsán;Media;Tahiti;Olivier Huc;Women's;Player
1;Third;Jennifer Hermoso;Coach;Tahiti;Stéphanie Spielmann;Women's;Player
1;Third;Lucy Bronze;Captain;Tahiti;Gwendoline Fournier;Women's;Player
3;Second;Lucy Bronze;Coach;Tahiti;Stéphanie Spielmann;Women's;Player
5;First;Saki Kumagai;Coach;Tahiti;Stéphanie Spielmann;Women's;Player
3;Second;Sam Kerr;Media;Tahiti;Olivier Huc;Women's;Player
3;Second;Wendie Renard;Captain;Tahiti;Gwendoline Fournier;Women's;Player
5;First;Wendie Renard;Media;Tahiti;Olivier Huc;Women's;Player
5;First;Delphine Cascarino;Coach;Tajikistan;Ildar Rakhmanov;Women's;Player
3;Second;Ji So-yun;Captain;Tajikistan;Madina Fozilova;Women's;Player
1;Third;Lucy Bronze;Captain;Tajikistan;Madina Fozilova;Women's;Player
1;Third;Saki Kumagai;Coach;Tajikistan;Ildar Rakhmanov;Women's;Player
5;First;Sam Kerr;Captain;Tajikistan;Madina Fozilova;Women's;Player
3;Second;Vivianne Miedema;Coach;Tajikistan;Ildar Rakhmanov;Women's;Player
5;First;Caroline Graham Hansen;Coach;Tanzania;Bakari Shime;Women's;Player
1;Third;Jennifer Hermoso;Coach;Tanzania;Bakari Shime;Women's;Player
3;Second;Lucy Bronze;Captain;Tanzania;Amina Ally Bilali;Women's;Player
3;Second;Lucy Bronze;Media;Tanzania;Doris Maliyaga;Women's;Player
1;Third;Pernille Harder;Captain;Tanzania;Amina Ally Bilali;Women's;Player
3;Second;Sam Kerr;Coach;Tanzania;Bakari Shime;Women's;Player
5;First;Vivianne Miedema;Captain;Tanzania;Amina Ally Bilali;Women's;Player
5;First;Vivianne Miedema;Media;Tanzania;Doris Maliyaga;Women's;Player
1;Third;Wendie Renard;Media;Tanzania;Doris Maliyaga;Women's;Player
5;First;Delphine Cascarino;Captain;Thailand;Sunisa Srangthaisong;Women's;Player
1;Third;Ji So-yun;Captain;Thailand;Sunisa Srangthaisong;Women's;Player
3;Second;Lucy Bronze;Coach;Thailand;Naruephon Kaenson;Women's;Player
3;Second;Pernille Harder;Captain;Thailand;Sunisa Srangthaisong;Women's;Player
5;First;Sam Kerr;Coach;Thailand;Naruephon Kaenson;Women's;Player
1;Third;Wendie Renard;Coach;Thailand;Naruephon Kaenson;Women's;Player
5;First;Caroline Graham Hansen;Captain;Timor-Leste;Nilda Romana Carvalho Dos Reis;Women's;Player
1;Third;Delphine Cascarino;Captain;Timor-Leste;Nilda Romana Carvalho Dos Reis;Women's;Player
3;Second;Dzsenifer Marozsán;Coach;Timor-Leste;Minyoung Lee;Women's;Player
1;Third;Lucy Bronze;Coach;Timor-Leste;Minyoung Lee;Women's;Player
3;Second;Lucy Bronze;Captain;Timor-Leste;Nilda Romana Carvalho Dos Reis;Women's;Player
5;First;Pernille Harder;Coach;Timor-Leste;Minyoung Lee;Women's;Player
1;Third;Caroline Graham Hansen;Coach;Togo;Tomety Kaï;Women's;Player
3;Second;Delphine Cascarino;Captain;Togo;Adjo Ayawo;Women's;Player
5;First;Jennifer Hermoso;Coach;Togo;Tomety Kaï;Women's;Player
1;Third;Saki Kumagai;Captain;Togo;Adjo Ayawo;Women's;Player
5;First;Wendie Renard;Captain;Togo;Adjo Ayawo;Women's;Player
3;Second;Wendie Renard;Coach;Togo;Tomety Kaï;Women's;Player
3;Second;Delphine Cascarino;Coach;Tonga;Adelaide Tuivailala;Women's;Player
1;Third;Delphine Cascarino;Captain;Tonga;Penateti Feke;Women's;Player
3;Second;Ji So-yun;Media;Tonga;Anitoni Samita;Women's;Player
1;Third;Lucy Bronze;Coach;Tonga;Adelaide Tuivailala;Women's;Player
5;First;Lucy Bronze;Captain;Tonga;Penateti Feke;Women's;Player
5;First;Saki Kumagai;Media;Tonga;Anitoni Samita;Women's;Player
1;Third;Sam Kerr;Media;Tonga;Anitoni Samita;Women's;Player
5;First;Vivianne Miedema;Coach;Tonga;Adelaide Tuivailala;Women's;Player
3;Second;Wendie Renard;Captain;Tonga;Penateti Feke;Women's;Player
5;First;Caroline Graham Hansen;Captain;Trinidad and Tobago;Karyn Forbes;Women's;Player
5;First;Delphine Cascarino;Coach;Trinidad and Tobago;Jinelle James;Women's;Player
3;Second;Lucy Bronze;Media;Trinidad and Tobago;Ian Prescott;Women's;Player
3;Second;Lucy Bronze;Coach;Trinidad and Tobago;Jinelle James;Women's;Player
3;Second;Lucy Bronze;Captain;Trinidad and Tobago;Karyn Forbes;Women's;Player
1;Third;Saki Kumagai;Media;Trinidad and Tobago;Ian Prescott;Women's;Player
1;Third;Sam Kerr;Coach;Trinidad and Tobago;Jinelle James;Women's;Player
1;Third;Sam Kerr;Captain;Trinidad and Tobago;Karyn Forbes;Women's;Player
5;First;Wendie Renard;Media;Trinidad and Tobago;Ian Prescott;Women's;Player
1;Third;Caroline Graham Hansen;Captain;Tunisia;Gomri Dhekra;Women's;Player
3;Second;Delphine Cascarino;Captain;Tunisia;Gomri Dhekra;Women's;Player
1;Third;Delphine Cascarino;Coach;Tunisia;Landolsi Samir;Women's;Player
1;Third;Dzsenifer Marozsán;Media;Tunisia;Mehdi Jebalia;Women's;Player
5;First;Lucy Bronze;Captain;Tunisia;Gomri Dhekra;Women's;Player
3;Second;Lucy Bronze;Coach;Tunisia;Landolsi Samir;Women's;Player
5;First;Pernille Harder;Media;Tunisia;Mehdi Jebalia;Women's;Player
3;Second;Saki Kumagai;Media;Tunisia;Mehdi Jebalia;Women's;Player
5;First;Sam Kerr;Coach;Tunisia;Landolsi Samir;Women's;Player
3;Second;Delphine Cascarino;Media;Turkey;Daghan Irak;Women's;Player
5;First;Lucy Bronze;Media;Turkey;Daghan Irak;Women's;Player
1;Third;Lucy Bronze;Captain;Turkey;Didem Karagenç;Women's;Player
3;Second;Pernille Harder;Coach;Turkey;Necla Gungor Kiragasi;Women's;Player
1;Third;Sam Kerr;Coach;Turkey;Necla Gungor Kiragasi;Women's;Player
5;First;Vivianne Miedema;Captain;Turkey;Didem Karagenç;Women's;Player
5;First;Vivianne Miedema;Coach;Turkey;Necla Gungor Kiragasi;Women's;Player
1;Third;Wendie Renard;Media;Turkey;Daghan Irak;Women's;Player
3;Second;Wendie Renard;Captain;Turkey;Didem Karagenç;Women's;Player
5;First;Jennifer Hermoso;Captain;Turkmenistan;Bagtygul Gurbanova;Women's;Player
3;Second;Jennifer Hermoso;Coach;Turkmenistan;Kamil Mingazov;Women's;Player
3;Second;Lucy Bronze;Captain;Turkmenistan;Bagtygul Gurbanova;Women's;Player
1;Third;Pernille Harder;Captain;Turkmenistan;Bagtygul Gurbanova;Women's;Player
5;First;Vivianne Miedema;Coach;Turkmenistan;Kamil Mingazov;Women's;Player
1;Third;Wendie Renard;Coach;Turkmenistan;Kamil Mingazov;Women's;Player
5;First;Delphine Cascarino;Captain;Turks and Caicos Islands;Patrice Amoy Senior;Women's;Player
1;Third;Delphine Cascarino;Coach;Turks and Caicos Islands;Yunelsis Rodríguez Baez;Women's;Player
1;Third;Jennifer Hermoso;Media;Turks and Caicos Islands;Faizool Deo;Women's;Player
3;Second;Lucy Bronze;Coach;Turks and Caicos Islands;Yunelsis Rodríguez Baez;Women's;Player
3;Second;Pernille Harder;Media;Turks and Caicos Islands;Faizool Deo;Women's;Player
1;Third;Pernille Harder;Captain;Turks and Caicos Islands;Patrice Amoy Senior;Women's;Player
5;First;Wendie Renard;Media;Turks and Caicos Islands;Faizool Deo;Women's;Player
3;Second;Wendie Renard;Captain;Turks and Caicos Islands;Patrice Amoy Senior;Women's;Player
5;First;Wendie Renard;Coach;Turks and Caicos Islands;Yunelsis Rodríguez Baez;Women's;Player
1;Third;Caroline Graham Hansen;Coach;Uganda;Faridah Bulega;Women's;Player
5;First;Delphine Cascarino;Coach;Uganda;Faridah Bulega;Women's;Player
3;Second;Dzsenifer Marozsán;Media;Uganda;Mark Namanya;Women's;Player
3;Second;Jennifer Hermoso;Captain;Uganda;Ruth Aturo;Women's;Player
3;Second;Lucy Bronze;Coach;Uganda;Faridah Bulega;Women's;Player
5;First;Lucy Bronze;Media;Uganda;Mark Namanya;Women's;Player
1;Third;Lucy Bronze;Captain;Uganda;Ruth Aturo;Women's;Player
1;Third;Pernille Harder;Media;Uganda;Mark Namanya;Women's;Player
5;First;Vivianne Miedema;Captain;Uganda;Ruth Aturo;Women's;Player
1;Third;Delphine Cascarino;Captain;Ukraine;Daria Apanashchenko;Women's;Player
3;Second;Dzsenifer Marozsán;Coach;Ukraine;Nataliia Zinchenko;Women's;Player
3;Second;Lucy Bronze;Captain;Ukraine;Daria Apanashchenko;Women's;Player
5;First;Pernille Harder;Captain;Ukraine;Daria Apanashchenko;Women's;Player
3;Second;Pernille Harder;Media;Ukraine;Kostiantyn Patkevych;Women's;Player
1;Third;Vivianne Miedema;Media;Ukraine;Kostiantyn Patkevych;Women's;Player
1;Third;Vivianne Miedema;Coach;Ukraine;Nataliia Zinchenko;Women's;Player
5;First;Wendie Renard;Media;Ukraine;Kostiantyn Patkevych;Women's;Player
5;First;Wendie Renard;Coach;Ukraine;Nataliia Zinchenko;Women's;Player
3;Second;Caroline Graham Hansen;Media;United Arab Emirates;Omran Mohamed;Women's;Player
5;First;Delphine Cascarino;Captain;United Arab Emirates;Noura Almazrooei;Women's;Player
3;Second;Jennifer Hermoso;Captain;United Arab Emirates;Noura Almazrooei;Women's;Player
5;First;Lucy Bronze;Media;United Arab Emirates;Omran Mohamed;Women's;Player
1;Third;Pernille Harder;Captain;United Arab Emirates;Noura Almazrooei;Women's;Player
1;Third;Wendie Renard;Media;United Arab Emirates;Omran Mohamed;Women's;Player
5;First;Jennifer Hermoso;Captain;Uruguay;Pamela González Medina;Women's;Player
5;First;Lucy Bronze;Coach;Uruguay;Graciela Barboza;Women's;Player
1;Third;Lucy Bronze;Captain;Uruguay;Pamela González Medina;Women's;Player
5;First;Pernille Harder;Media;Uruguay;Federico Barreiro;Women's;Player
3;Second;Pernille Harder;Coach;Uruguay;Graciela Barboza;Women's;Player
1;Third;Vivianne Miedema;Media;Uruguay;Federico Barreiro;Women's;Player
3;Second;Wendie Renard;Media;Uruguay;Federico Barreiro;Women's;Player
1;Third;Wendie Renard;Coach;Uruguay;Graciela Barboza;Women's;Player
3;Second;Wendie Renard;Captain;Uruguay;Pamela González Medina;Women's;Player
5;First;Caroline Graham Hansen;Media;US Virgin Islands;Bill Kiser;Women's;Player
1;Third;Delphine Cascarino;Captain;US Virgin Islands;Elyse Iller Miss Elyse Iller;Women's;Player
1;Third;Delphine Cascarino;Coach;US Virgin Islands;Jorge Zavala;Women's;Player
1;Third;Jennifer Hermoso;Media;US Virgin Islands;Bill Kiser;Women's;Player
5;First;Lucy Bronze;Captain;US Virgin Islands;Elyse Iller Miss Elyse Iller;Women's;Player
3;Second;Lucy Bronze;Coach;US Virgin Islands;Jorge Zavala;Women's;Player
3;Second;Sam Kerr;Captain;US Virgin Islands;Elyse Iller Miss Elyse Iller;Women's;Player
5;First;Sam Kerr;Coach;US Virgin Islands;Jorge Zavala;Women's;Player
3;Second;Wendie Renard;Media;US Virgin Islands;Bill Kiser;Women's;Player
3;Second;Delphine Cascarino;Captain;USA;Becky Sauerbrunn;Women's;Player
3;Second;Delphine Cascarino;Coach;USA;Vlatko Andonovski;Women's;Player
1;Third;Ji So-yun;Captain;USA;Becky Sauerbrunn;Women's;Player
1;Third;Lucy Bronze;Coach;USA;Vlatko Andonovski;Women's;Player
3;Second;Pernille Harder;Media;USA;Anne Peterson;Women's;Player
5;First;Vivianne Miedema;Media;USA;Anne Peterson;Women's;Player
5;First;Vivianne Miedema;Captain;USA;Becky Sauerbrunn;Women's;Player
5;First;Vivianne Miedema;Coach;USA;Vlatko Andonovski;Women's;Player
1;Third;Wendie Renard;Media;USA;Anne Peterson;Women's;Player
3;Second;Delphine Cascarino;Media;Uzbekistan;Davron Fayziev;Women's;Player
5;First;Dzsenifer Marozsán;Media;Uzbekistan;Davron Fayziev;Women's;Player
1;Third;Pernille Harder;Media;Uzbekistan;Davron Fayziev;Women's;Player
5;First;Delphine Cascarino;Coach;Vanuatu;Jean-Robert Yelou;Women's;Player
1;Third;Lucy Bronze;Captain;Vanuatu;Elmah Aiviji;Women's;Player
3;Second;Saki Kumagai;Coach;Vanuatu;Jean-Robert Yelou;Women's;Player
3;Second;Sam Kerr;Captain;Vanuatu;Elmah Aiviji;Women's;Player
5;First;Vivianne Miedema;Captain;Vanuatu;Elmah Aiviji;Women's;Player
1;Third;Vivianne Miedema;Coach;Vanuatu;Jean-Robert Yelou;Women's;Player
1;Third;Caroline Graham Hansen;Captain;Venezuela;Lourdes Moreno Beleño;Women's;Player
3;Second;Delphine Cascarino;Captain;Venezuela;Lourdes Moreno Beleño;Women's;Player
1;Third;Delphine Cascarino;Coach;Venezuela;Pamela Conti;Women's;Player
1;Third;Jennifer Hermoso;Media;Venezuela;Milena Gimón;Women's;Player
3;Second;Lucy Bronze;Media;Venezuela;Milena Gimón;Women's;Player
3;Second;Lucy Bronze;Coach;Venezuela;Pamela Conti;Women's;Player
5;First;Pernille Harder;Coach;Venezuela;Pamela Conti;Women's;Player
5;First;Vivianne Miedema;Media;Venezuela;Milena Gimón;Women's;Player
5;First;Wendie Renard;Captain;Venezuela;Lourdes Moreno Beleño;Women's;Player
1;Third;Delphine Cascarino;Coach;Vietnam;Duc Chung Mai;Women's;Player
3;Second;Jennifer Hermoso;Captain;Vietnam;Huynh Nhu;Women's;Player
3;Second;Ji So-yun;Coach;Vietnam;Duc Chung Mai;Women's;Player
5;First;Pernille Harder;Captain;Vietnam;Huynh Nhu;Women's;Player
5;First;Sam Kerr;Coach;Vietnam;Duc Chung Mai;Women's;Player
1;Third;Sam Kerr;Captain;Vietnam;Huynh Nhu;Women's;Player
5;First;Caroline Graham Hansen;Coach;Wales;Jayne Ludlow;Women's;Player
1;Third;Delphine Cascarino;Captain;Wales;Sophie Ingle;Women's;Player
5;First;Ji So-yun;Captain;Wales;Sophie Ingle;Women's;Player
3;Second;Pernille Harder;Coach;Wales;Jayne Ludlow;Women's;Player
1;Third;Vivianne Miedema;Coach;Wales;Jayne Ludlow;Women's;Player
3;Second;Vivianne Miedema;Captain;Wales;Sophie Ingle;Women's;Player
5;First;Lucy Bronze;Media;Yemen;Basheer Senan;Women's;Player
3;Second;Pernille Harder;Media;Yemen;Basheer Senan;Women's;Player
1;Third;Wendie Renard;Media;Yemen;Basheer Senan;Women's;Player
1;Third;Caroline Graham Hansen;Coach;Zambia;Bruce Mwape;Women's;Player
5;First;Delphine Cascarino;Coach;Zambia;Bruce Mwape;Women's;Player
3;Second;Delphine Cascarino;Media;Zambia;Elias Chipepo;Women's;Player
3;Second;Jennifer Hermoso;Captain;Zambia;Barbra Banda;Women's;Player
3;Second;Ji So-yun;Coach;Zambia;Bruce Mwape;Women's;Player
5;First;Lucy Bronze;Media;Zambia;Elias Chipepo;Women's;Player
5;First;Sam Kerr;Captain;Zambia;Barbra Banda;Women's;Player
1;Third;Sam Kerr;Media;Zambia;Elias Chipepo;Women's;Player
1;Third;Wendie Renard;Captain;Zambia;Barbra Banda;Women's;Player
3;Second;Caroline Graham Hansen;Captain;Zimbabwe;Emmaculate Msipa;Women's;Player
5;First;Caroline Graham Hansen;Media;Zimbabwe;Sikhumbuzo Moyo;Women's;Player
5;First;Dzsenifer Marozsán;Captain;Zimbabwe;Emmaculate Msipa;Women's;Player
3;Second;Dzsenifer Marozsán;Coach;Zimbabwe;Sithethelelwe Sibanda;Women's;Player
1;Third;Ji So-yun;Media;Zimbabwe;Sikhumbuzo Moyo;Women's;Player
1;Third;Ji So-yun;Coach;Zimbabwe;Sithethelelwe Sibanda;Women's;Player
1;Third;Lucy Bronze;Captain;Zimbabwe;Emmaculate Msipa;Women's;Player
3;Second;Pernille Harder;Media;Zimbabwe;Sikhumbuzo Moyo;Women's;Player
5;First;Wendie Renard;Coach;Zimbabwe;Sithethelelwe Sibanda;Women's;Player
1;;Caroline Graham Hansen;Total;Afghanistan;;Women's;Player
5;;Jennifer Hermoso;Total;Afghanistan;;Women's;Player
1;;Ji So-yun;Total;Afghanistan;;Women's;Player
8;;Lucy Bronze;Total;Afghanistan;;Women's;Player
3;;Sam Kerr;Total;Afghanistan;;Women's;Player
1;;Caroline Graham Hansen;Total;Albania;;Women's;Player
1;;Delphine Cascarino;Total;Albania;;Women's;Player
5;;Dzsenifer Marozsán;Total;Albania;;Women's;Player
3;;Ji So-yun;Total;Albania;;Women's;Player
13;;Lucy Bronze;Total;Albania;;Women's;Player
4;;Vivianne Miedema;Total;Albania;;Women's;Player
8;;Delphine Cascarino;Total;Algeria;;Women's;Player
3;;Dzsenifer Marozsán;Total;Algeria;;Women's;Player
1;;Lucy Bronze;Total;Algeria;;Women's;Player
3;;Pernille Harder;Total;Algeria;;Women's;Player
2;;Vivianne Miedema;Total;Algeria;;Women's;Player
10;;Wendie Renard;Total;Algeria;;Women's;Player
5;;Caroline Graham Hansen;Total;American Samoa;;Women's;Player
5;;Delphine Cascarino;Total;American Samoa;;Women's;Player
3;;Lucy Bronze;Total;American Samoa;;Women's;Player
3;;Pernille Harder;Total;American Samoa;;Women's;Player
1;;Sam Kerr;Total;American Samoa;;Women's;Player
1;;Vivianne Miedema;Total;American Samoa;;Women's;Player
5;;Delphine Cascarino;Total;Andorra;;Women's;Player
5;;Dzsenifer Marozsán;Total;Andorra;;Women's;Player
9;;Jennifer Hermoso;Total;Andorra;;Women's;Player
1;;Ji So-yun;Total;Andorra;;Women's;Player
3;;Pernille Harder;Total;Andorra;;Women's;Player
3;;Vivianne Miedema;Total;Andorra;;Women's;Player
1;;Wendie Renard;Total;Andorra;;Women's;Player
3;;Caroline Graham Hansen;Total;Angola;;Women's;Player
1;;Delphine Cascarino;Total;Angola;;Women's;Player
8;;Dzsenifer Marozsán;Total;Angola;;Women's;Player
7;;Lucy Bronze;Total;Angola;;Women's;Player
8;;Wendie Renard;Total;Angola;;Women's;Player
1;;Dzsenifer Marozsán;Total;Anguilla;;Women's;Player
8;;Lucy Bronze;Total;Anguilla;;Women's;Player
3;;Saki Kumagai;Total;Anguilla;;Women's;Player
5;;Sam Kerr;Total;Anguilla;;Women's;Player
1;;Wendie Renard;Total;Anguilla;;Women's;Player
10;;Delphine Cascarino;Total;Antigua and Barbuda;;Women's;Player
6;;Jennifer Hermoso;Total;Antigua and Barbuda;;Women's;Player
3;;Lucy Bronze;Total;Antigua and Barbuda;;Women's;Player
6;;Vivianne Miedema;Total;Antigua and Barbuda;;Women's;Player
2;;Wendie Renard;Total;Antigua and Barbuda;;Women's;Player
5;;Caroline Graham Hansen;Total;Argentina;;Women's;Player
6;;Delphine Cascarino;Total;Argentina;;Women's;Player
1;;Jennifer Hermoso;Total;Argentina;;Women's;Player
5;;Lucy Bronze;Total;Argentina;;Women's;Player
8;;Pernille Harder;Total;Argentina;;Women's;Player
1;;Sam Kerr;Total;Argentina;;Women's;Player
1;;Wendie Renard;Total;Argentina;;Women's;Player
6;;Delphine Cascarino;Total;Armenia;;Women's;Player
1;;Dzsenifer Marozsán;Total;Armenia;;Women's;Player
4;;Lucy Bronze;Total;Armenia;;Women's;Player
10;;Pernille Harder;Total;Armenia;;Women's;Player
3;;Vivianne Miedema;Total;Armenia;;Women's;Player
3;;Wendie Renard;Total;Armenia;;Women's;Player
1;;Caroline Graham Hansen;Total;Aruba;;Women's;Player
5;;Delphine Cascarino;Total;Aruba;;Women's;Player
5;;Jennifer Hermoso;Total;Aruba;;Women's;Player
8;;Lucy Bronze;Total;Aruba;;Women's;Player
3;;Pernille Harder;Total;Aruba;;Women's;Player
3;;Sam Kerr;Total;Aruba;;Women's;Player
2;;Vivianne Miedema;Total;Aruba;;Women's;Player
3;;Caroline Graham Hansen;Total;Australia;;Women's;Player
3;;Ji So-yun;Total;Australia;;Women's;Player
8;;Pernille Harder;Total;Australia;;Women's;Player
6;;Sam Kerr;Total;Australia;;Women's;Player
2;;Vivianne Miedema;Total;Australia;;Women's;Player
5;;Wendie Renard;Total;Australia;;Women's;Player
5;;Delphine Cascarino;Total;Austria;;Women's;Player
3;;Dzsenifer Marozsán;Total;Austria;;Women's;Player
1;;Lucy Bronze;Total;Austria;;Women's;Player
5;;Pernille Harder;Total;Austria;;Women's;Player
4;;Vivianne Miedema;Total;Austria;;Women's;Player
9;;Wendie Renard;Total;Austria;;Women's;Player
4;;Caroline Graham Hansen;Total;Azerbaijan;;Women's;Player
3;;Dzsenifer Marozsán;Total;Azerbaijan;;Women's;Player
10;;Jennifer Hermoso;Total;Azerbaijan;;Women's;Player
1;;Lucy Bronze;Total;Azerbaijan;;Women's;Player
5;;Pernille Harder;Total;Azerbaijan;;Women's;Player
3;;Sam Kerr;Total;Azerbaijan;;Women's;Player
1;;Vivianne Miedema;Total;Azerbaijan;;Women's;Player
3;;Jennifer Hermoso;Total;Bahamas;;Women's;Player
1;;Ji So-yun;Total;Bahamas;;Women's;Player
9;;Lucy Bronze;Total;Bahamas;;Women's;Player
5;;Pernille Harder;Total;Bahamas;;Women's;Player
4;;Vivianne Miedema;Total;Bahamas;;Women's;Player
5;;Wendie Renard;Total;Bahamas;;Women's;Player
1;;Dzsenifer Marozsán;Total;Bahrain;;Women's;Player
1;;Jennifer Hermoso;Total;Bahrain;;Women's;Player
11;;Lucy Bronze;Total;Bahrain;;Women's;Player
1;;Sam Kerr;Total;Bahrain;;Women's;Player
8;;Vivianne Miedema;Total;Bahrain;;Women's;Player
5;;Wendie Renard;Total;Bahrain;;Women's;Player
5;;Delphine Cascarino;Total;Bangladesh;;Women's;Player
5;;Dzsenifer Marozsán;Total;Bangladesh;;Women's;Player
2;;Jennifer Hermoso;Total;Bangladesh;;Women's;Player
6;;Lucy Bronze;Total;Bangladesh;;Women's;Player
5;;Pernille Harder;Total;Bangladesh;;Women's;Player
1;;Saki Kumagai;Total;Bangladesh;;Women's;Player
3;;Vivianne Miedema;Total;Bangladesh;;Women's;Player
3;;Dzsenifer Marozsán;Total;Barbados;;Women's;Player
5;;Ji So-yun;Total;Barbados;;Women's;Player
7;;Lucy Bronze;Total;Barbados;;Women's;Player
6;;Sam Kerr;Total;Barbados;;Women's;Player
6;;Wendie Renard;Total;Barbados;;Women's;Player
10;;Caroline Graham Hansen;Total;Belarus;;Women's;Player
1;;Dzsenifer Marozsán;Total;Belarus;;Women's;Player
3;;Lucy Bronze;Total;Belarus;;Women's;Player
8;;Pernille Harder;Total;Belarus;;Women's;Player
3;;Sam Kerr;Total;Belarus;;Women's;Player
1;;Vivianne Miedema;Total;Belarus;;Women's;Player
1;;Wendie Renard;Total;Belarus;;Women's;Player
1;;Caroline Graham Hansen;Total;Belgium;;Women's;Player
10;;Delphine Cascarino;Total;Belgium;;Women's;Player
6;;Dzsenifer Marozsán;Total;Belgium;;Women's;Player
7;;Pernille Harder;Total;Belgium;;Women's;Player
3;;Wendie Renard;Total;Belgium;;Women's;Player
6;;Jennifer Hermoso;Total;Belize;;Women's;Player
5;;Lucy Bronze;Total;Belize;;Women's;Player
6;;Sam Kerr;Total;Belize;;Women's;Player
10;;Wendie Renard;Total;Belize;;Women's;Player
3;;Delphine Cascarino;Total;Benin;;Women's;Player
1;;Dzsenifer Marozsán;Total;Benin;;Women's;Player
3;;Ji So-yun;Total;Benin;;Women's;Player
5;;Lucy Bronze;Total;Benin;;Women's;Player
5;;Pernille Harder;Total;Benin;;Women's;Player
1;;Saki Kumagai;Total;Benin;;Women's;Player
4;;Ji So-yun;Total;Bermuda;;Women's;Player
9;;Lucy Bronze;Total;Bermuda;;Women's;Player
1;;Saki Kumagai;Total;Bermuda;;Women's;Player
8;;Sam Kerr;Total;Bermuda;;Women's;Player
5;;Wendie Renard;Total;Bermuda;;Women's;Player
4;;Caroline Graham Hansen;Total;Bhutan;;Women's;Player
2;;Ji So-yun;Total;Bhutan;;Women's;Player
3;;Lucy Bronze;Total;Bhutan;;Women's;Player
5;;Pernille Harder;Total;Bhutan;;Women's;Player
8;;Saki Kumagai;Total;Bhutan;;Women's;Player
